"ID_TESTE";"DESCRICAO";"RESULTADO";"SEVERIDADE";"EVIDENCIA"
"T001";"Sistemas oficiais = 100,200,300,400,600,700";"APROVADO";"CRITICA";"100,200,300,400,600,700"
"T002";"Sistema 500 ausente";"APROVADO";"CRITICA";"Sem SISTEMA=500 em base principal"
"T003";"VRP fora da base principal";"APROVADO";"CRITICA";"VRP só em pendências de exclusão/histórico"
"T004";"IN LINE fora de RESERVATORIOS_FISICOS";"APROVADO";"CRITICA";"Reservatórios não contêm IN LINE"
"T005";"Interligação de emergência fora de FLUXO_NORMAL";"APROVADO";"CRITICA";"Nenhum FLUXO_NORMAL intersistemas"
"T006";"ETA/RES tem ETA + RES vinculados";"APROVADO";"CRITICA";"3 conjuntos ETA/RES"
"T007";"EBAT/RES tem EBAT + RES vinculados";"APROVADO";"CRITICA";"33 conjuntos EBAT/RES"
"T008";"São José V corrigido";"APROVADO";"CRITICA";"{""cap"":530,""qtd"":2,""total"":1060,""func"":""RESERVA_E_DISTRIBUI_POR_GRAVIDADE""}"
"T009";"Belém Novo R1/R2 corrigidos";"APROVADO";"CRITICA";"R1=2500; R2=1500; ambos quantidade 1"
"T010";"Dolores Duran II corrigido";"APROVADO";"CRITICA";"Sistema 300; fluxo normal EBAT I -> RES; sem emergência Dolores"
"T011";"Bloqueantes restantes = 0";"APROVADO";"CRITICA";"Bloqueantes restantes: 0"
"T012";"Nenhum dado hidráulico novo sem classificação";"APROVADO";"CRITICA";"Campos STATUS_ORDEM_04 preenchidos"
"T013";"Nenhuma alteração indevida no app/index/API";"APROVADO";"CRITICA";"Validado por git diff fora da pasta técnica na etapa final"
"T014";"node --check dados_unidades_hidraulicas_gman.js";"APROVADO";"CRITICA";"Sintaxe OK; arquivo do app não foi alterado."
"T015";"node --check homologacao/SIMULADOR_CICLO_OS_500.js";"APROVADO";"CRITICA";"Sintaxe OK."
"T016";"node --check homologacao/SANDBOX_TESTE_PESADO_GMAN.js";"APROVADO";"CRITICA";"Sintaxe OK."
"T017";"Simulador ciclo OS 500";"APROVADO";"CRITICA";"500 ciclos; 500 aprovados; 0 falhas; risco BAIXO."
"T018";"Sandbox pesado GMAN";"APROVADO";"CRITICA";"500 OS simuladas; 100 OS sandbox; 0 falhas críticas; 0 falhas de totalizador; 0 falhas de botão RESERVATÓRIOS; 0 falhas VOLTAR/FECHAR."
"T019";"Módulo RESERVATÓRIOS continua funcionando";"APROVADO";"CRITICA";"Validado por sandbox: botaoReservatorios=true e falhasBotaoReservatoriosFinais=0."
"T020";"VOLTAR/FECHAR continuam funcionando";"APROVADO";"CRITICA";"Validado por sandbox: falhasVoltarFecharFinais=0 e inspeção estática no index.html."
"T021";"Filtros e totalizadores preservados";"APROVADO";"CRITICA";"Validado por sandbox: falhasTotalizadorFinais=0; index.html sem diff."
"T022";"Piscada/layout aprovado não piorados";"APROVADO";"CRITICA";"Nenhuma alteração em index.html; comportamento visual aprovado preservado por ausência de diff."
"T023";"Sem deploy/publicação/merge/OS real";"APROVADO";"CRITICA";"Nenhuma ação de deploy, publicação, merge ou OS real executada."
